index,date,BPS,PER,PBR,EPS,DIV,DPS,ticker
0,2019-03-31,0,0.0,0.0,0,2.34,3050,097955
1,2019-06-30,0,0.0,0.0,0,2.83,3550,097955
2,2019-09-30,0,0.0,0.0,0,3.35,3550,097955
3,2019-12-31,0,0.0,0.0,0,3.41,3550,097955
4,2020-03-31,0,0.0,0.0,0,3.4,3550,097955
5,2020-06-30,0,0.0,0.0,0,2.84,3550,097955
6,2020-09-30,0,0.0,0.0,0,2.17,3550,097955
7,2020-12-31,0,0.0,0.0,0,2.2,3550,097955
8,2021-03-31,0,0.0,0.0,0,1.96,3550,097955
9,2021-06-30,0,0.0,0.0,0,1.82,4050,097955
10,2021-09-30,0,0.0,0.0,0,1.99,4050,097955
11,2021-12-31,0,0.0,0.0,0,2.33,4050,097955
12,2022-03-31,0,0.0,0.0,0,2.45,4050,097955
13,2022-06-30,0,0.0,0.0,0,2.86,5050,097955
14,2022-09-30,0,0.0,0.0,0,3.07,5050,097955
15,2022-12-31,0,0.0,0.0,0,2.96,5050,097955
16,2023-03-31,0,0.0,0.0,0,3.18,5050,097955
17,2023-06-30,0,0.0,0.0,0,3.74,5550,097955
18,2023-09-30,0,0.0,0.0,0,4.06,5550,097955
19,2023-12-31,0,0.0,0.0,0,4.19,5550,097955
20,2019-03-31,139324,19.91,0.6,4223,4.16,3500,000480
21,2019-06-30,146819,5.65,0.62,16227,4.36,4000,000480
22,2019-09-30,146819,5.31,0.59,16227,4.65,4000,000480
23,2019-12-31,146819,5.36,0.59,16227,4.6,4000,000480
24,2020-03-31,146819,4.78,0.53,16227,5.16,4000,000480
25,2020-06-30,147942,9.98,0.51,7493,5.35,4000,000480
26,2020-09-30,147942,9.54,0.48,7493,5.59,4000,000480
27,2020-12-31,147942,10.82,0.55,7493,4.93,4000,000480
28,2021-03-31,147942,10.6,0.54,7493,5.04,4000,000480
29,2021-06-30,154303,8.73,0.59,10421,4.62,4200,000480
30,2021-09-30,154303,8.63,0.58,10421,4.67,4200,000480
31,2021-12-31,154303,7.86,0.53,10421,5.13,4200,000480
32,2022-03-31,154303,7.56,0.51,10421,5.33,4200,000480
33,2022-06-30,207776,10.41,0.39,7840,5.51,4500,000480
34,2022-09-30,207776,9.92,0.37,7840,5.78,4500,000480
35,2022-12-31,207776,10.11,0.38,7840,5.67,4500,000480
36,2023-03-31,207776,10.24,0.39,7840,5.6,4500,000480
37,2023-06-30,21609,6.68,0.4,1279,5.26,450,000480
38,2023-09-30,21609,6.53,0.39,1279,5.39,450,000480
39,2023-12-31,21609,5.18,0.31,1279,6.79,450,000480
40,2019-03-31,187283,12.63,0.35,5138,0.77,500,000590
41,2019-06-30,189462,11.46,0.33,5469,0.8,500,000590
42,2019-09-30,189462,10.81,0.31,5469,0.85,500,000590
43,2019-12-31,189462,10.61,0.31,5469,0.86,500,000590
44,2020-03-31,189462,9.65,0.28,5469,0.95,500,000590
45,2020-06-30,195584,5.92,0.26,8435,1.0,500,000590
46,2020-09-30,195584,6.71,0.29,8435,0.88,500,000590
47,2020-12-31,195584,6.7,0.29,8435,0.88,500,000590
48,2021-03-31,195584,6.94,0.3,8435,0.85,500,000590
49,2021-06-30,210057,11.36,0.36,6657,0.66,500,000590
50,2021-09-30,210057,9.69,0.31,6657,0.78,500,000590
51,2021-12-31,210057,9.01,0.29,6657,0.83,500,000590
52,2022-03-31,210057,10.44,0.33,6657,0.72,500,000590
53,2022-06-30,226165,5.06,0.29,12789,0.77,500,000590
54,2022-09-30,226165,5.47,0.31,12789,0.71,500,000590
55,2022-12-31,226165,4.93,0.28,12789,0.79,500,000590
56,2023-03-31,226165,5.07,0.29,12789,0.77,500,000590
57,2023-06-30,242997,4.83,0.25,12700,0.81,500,000590
58,2023-09-30,242997,4.5,0.23,12700,0.88,500,000590
59,2023-12-31,242997,4.72,0.25,12700,0.83,500,000590
60,2019-03-31,735,0.0,1.24,0,0.0,0,012030
61,2019-06-30,684,0.0,1.39,0,0.0,0,012030
62,2019-09-30,684,0.0,1.15,0,0.0,0,012030
63,2019-12-31,684,0.0,1.12,0,0.0,0,012030
64,2020-03-31,684,0.0,1.06,0,0.0,0,012030
65,2020-06-30,1049,32.61,0.71,23,0.0,0,012030
66,2020-09-30,1049,30.57,0.67,23,0.0,0,012030
67,2020-12-31,1049,31.43,0.69,23,0.0,0,012030
68,2021-03-31,1049,37.96,0.83,23,0.0,0,012030
69,2021-06-30,1559,31.97,0.68,33,0.0,0,012030
70,2021-09-30,1559,32.12,0.68,33,0.0,0,012030
71,2021-12-31,1559,28.85,0.61,33,0.0,0,012030
72,2022-03-31,1559,26.15,0.55,33,0.0,0,012030
73,2022-06-30,2292,8.29,0.41,114,0.0,0,012030
74,2022-09-30,2292,6.92,0.34,114,0.0,0,012030
75,2022-12-31,2292,7.31,0.36,114,0.0,0,012030
76,2023-03-31,2292,13.92,0.69,114,0.0,0,012030
77,2023-06-30,1492,58.27,1.17,30,0.0,0,012030
78,2023-09-30,1492,59.67,1.2,30,0.0,0,012030
79,2023-12-31,1492,59.0,1.19,30,0.0,0,012030
80,2019-03-31,14360,45.0,0.34,107,2.08,100,016610
81,2019-06-30,15495,3.71,0.31,1312,5.14,250,016610
82,2019-09-30,15495,3.28,0.28,1312,5.81,250,016610
83,2019-12-31,15495,3.27,0.28,1312,5.82,250,016610
84,2020-03-31,15495,2.67,0.23,1312,7.13,250,016610
85,2020-06-30,16484,2.93,0.21,1172,7.28,250,016610
86,2020-09-30,16484,3.13,0.22,1172,6.81,250,016610
87,2020-12-31,16484,4.04,0.29,1172,5.29,250,016610
88,2021-03-31,16484,4.89,0.35,1172,4.36,250,016610
89,2021-06-30,18855,3.1,0.38,2327,4.16,300,016610
90,2021-09-30,18855,2.92,0.36,2327,4.41,300,016610
91,2021-12-31,18855,2.85,0.35,2327,4.52,300,016610
92,2022-03-31,18855,2.68,0.33,2327,4.82,300,016610
93,2022-06-30,22133,2.07,0.26,2831,8.55,500,016610
94,2022-09-30,22133,1.74,0.22,2831,10.12,500,016610
95,2022-12-31,22133,1.64,0.21,2831,10.75,500,016610
96,2023-03-31,22133,1.47,0.19,2831,11.98,500,016610
97,2023-06-30,22203,0.0,0.19,0,4.08,170,016610
98,2023-09-30,22203,0.0,0.18,0,4.15,170,016610
99,2023-12-31,22203,0.0,0.18,0,4.3,170,016610
100,2019-03-31,704,0.0,3.32,0,0.0,0,060310
101,2019-06-30,704,0.0,3.82,0,0.0,0,060310
102,2019-09-30,704,0.0,4.46,0,0.0,0,060310
103,2019-12-31,768,90.31,3.76,32,0.0,0,060310
104,2020-03-31,768,80.31,3.35,32,0.0,0,060310
105,2020-06-30,768,83.75,3.49,32,0.0,0,060310
106,2020-09-30,768,70.16,2.92,32,0.0,0,060310
107,2020-12-31,745,0.0,2.83,0,0.0,0,060310
108,2021-03-31,745,0.0,3.19,0,0.0,0,060310
109,2021-06-30,745,0.0,3.92,0,0.0,0,060310
110,2021-09-30,745,0.0,4.68,0,0.0,0,060310
111,2021-12-31,792,217.19,4.39,16,0.0,0,060310
112,2022-03-31,792,200.0,4.04,16,0.0,0,060310
113,2022-06-30,792,207.19,4.19,16,0.0,0,060310
114,2022-09-30,792,172.5,3.48,16,0.0,0,060310
115,2022-12-31,829,75.76,3.02,33,0.0,0,060310
116,2023-03-31,829,67.12,2.67,33,0.0,0,060310
117,2023-06-30,829,87.88,3.5,33,0.0,0,060310
118,2023-09-30,829,80.3,3.2,33,0.0,0,060310
119,2023-12-31,947,76.5,2.42,30,0.0,0,060310
120,2019-03-31,13639,0.1,0.34,46508,0.0,0,054620
121,2019-06-30,11083,61.41,0.35,64,0.0,0,054620
122,2019-09-30,11083,150.0,0.87,64,0.0,0,054620
123,2019-12-31,11083,146.09,0.84,64,0.0,0,054620
124,2020-03-31,11083,154.53,0.89,64,0.0,0,054620
125,2020-06-30,10530,0.0,0.81,0,0.0,0,054620
126,2020-09-30,10530,0.0,0.81,0,0.0,0,054620
127,2020-12-31,10530,0.0,0.74,0,0.0,0,054620
128,2021-03-31,10530,0.0,0.75,0,0.0,0,054620
129,2021-06-30,8135,0.0,1.84,0,0.0,0,054620
130,2021-09-30,8135,0.0,2.36,0,0.0,0,054620
131,2021-12-31,8135,0.0,1.66,0,0.0,0,054620
132,2022-03-31,8135,0.0,1.49,0,0.0,0,054620
133,2022-06-30,10088,10.05,1.17,1179,0.84,100,054620
134,2022-09-30,10088,11.24,1.31,1179,0.75,100,054620
135,2022-12-31,10088,11.87,1.39,1179,0.71,100,054620
136,2023-03-31,10088,11.47,1.34,1179,0.74,100,054620
137,2023-06-30,10864,21.98,1.02,505,0.0,0,054620
138,2023-09-30,10864,16.65,0.77,505,0.0,0,054620
139,2023-12-31,10864,12.06,0.56,505,0.0,0,054620
140,2019-03-31,5856,21.15,5.04,1395,0.0,0,265520
141,2019-06-30,6964,13.08,3.4,1812,0.63,150,265520
142,2019-09-30,6964,14.9,3.88,1812,0.56,150,265520
143,2019-12-31,6964,15.56,4.05,1812,0.53,150,265520
144,2020-03-31,6964,15.67,4.08,1812,0.53,150,265520
145,2020-06-30,7468,38.75,3.48,671,0.19,50,265520
146,2020-09-30,7468,33.46,3.01,671,0.22,50,265520
147,2020-12-31,7468,34.95,3.14,671,0.21,50,265520
148,2021-03-31,7468,41.58,3.74,671,0.18,50,265520
149,2021-06-30,9041,16.73,3.21,1736,0.41,120,265520
150,2021-09-30,9041,16.53,3.17,1736,0.42,120,265520
151,2021-12-31,9041,12.56,2.41,1736,0.55,120,265520
152,2022-03-31,9041,13.02,2.5,1736,0.53,120,265520
153,2022-06-30,12713,5.61,1.73,3932,1.09,240,265520
154,2022-09-30,12713,4.82,1.49,3932,1.27,240,265520
155,2022-12-31,12713,4.92,1.52,3932,1.24,240,265520
156,2023-03-31,12713,5.15,1.59,3932,1.19,240,265520
157,2023-06-30,17980,3.94,1.2,5463,1.25,270,265520
158,2023-09-30,17980,3.54,1.08,5463,1.4,270,265520
159,2023-12-31,17980,3.87,1.18,5463,1.28,270,265520
160,2019-03-31,5465,1330.0,1.22,5,0.0,0,211270
161,2019-06-30,5428,0.0,1.29,0,0.0,0,211270
162,2019-09-30,5428,0.0,1.31,0,0.0,0,211270
163,2019-12-31,5428,0.0,1.19,0,0.0,0,211270
164,2020-03-31,5428,0.0,1.28,0,0.0,0,211270
165,2020-06-30,5479,146.08,1.36,51,0.94,70,211270
166,2020-09-30,5479,137.45,1.28,51,1.0,70,211270
167,2020-12-31,5479,138.24,1.29,51,0.99,70,211270
168,2021-03-31,5479,370.59,3.45,51,0.37,70,211270
169,2021-06-30,5321,0.0,3.03,0,0.43,70,211270
170,2021-09-30,5321,0.0,2.96,0,0.44,70,211270
171,2021-12-31,5321,0.0,2.1,0,0.63,70,211270
172,2022-03-31,5321,0.0,2.59,0,0.51,70,211270
173,2022-06-30,5714,181.31,3.14,99,0.39,70,211270
174,2022-09-30,5714,111.11,1.93,99,0.64,70,211270
175,2022-12-31,5714,114.65,1.99,99,0.62,70,211270
176,2023-03-31,5714,208.59,3.61,99,0.34,70,211270
177,2023-06-30,5997,49.79,2.38,287,0.49,70,211270
178,2023-09-30,5997,44.67,2.14,287,0.55,70,211270
179,2023-12-31,5997,51.53,2.47,287,0.47,70,211270
180,2019-03-31,1261,0.0,1.1,0,0.0,0,139050
181,2019-06-30,987,0.0,1.13,0,0.0,0,139050
182,2019-09-30,987,0.0,0.68,0,0.0,0,139050
183,2019-12-31,987,0.0,1.01,0,0.0,0,139050
184,2020-03-31,987,0.0,0.68,0,0.0,0,139050
185,2020-06-30,417,0.0,1.6,0,0.0,0,139050
186,2020-09-30,417,0.0,1.73,0,0.0,0,139050
187,2020-12-31,417,0.0,3.08,0,0.0,0,139050
188,2021-03-31,417,0.0,2.4,0,0.0,0,139050
189,2021-06-30,435,0.0,1.64,0,0.0,0,139050
190,2021-09-30,435,0.0,1.47,0,0.0,0,139050
191,2021-12-31,435,0.0,1.93,0,0.0,0,139050
192,2022-03-31,435,0.0,1.85,0,0.0,0,139050
193,2022-06-30,517,61.85,1.56,13,0.0,0,139050
194,2022-09-30,517,44.54,1.12,13,0.0,0,139050
195,2022-12-31,517,51.38,1.29,13,0.0,0,139050
196,2023-03-31,517,39.62,1.0,13,0.0,0,139050
197,2023-06-30,334,0.0,1.3,0,0.0,0,139050
198,2023-09-30,5010,0.0,1.08,0,0.0,0,139050
199,2023-12-31,5010,0.0,1.46,0,0.0,0,139050
